"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate","prop_males","attractant","phero_lure"
"B","Ppo","5",253,"VistaVerde","Pis","Yes",11,6,2018-05-15,2018-05-08,0.545454545454545,"PPO","No pheromone lure"
"B","Ppo","6",263,"VistaVerde","Pis","Yes",5,3,2018-05-15,2018-05-08,0.6,"PPO","No pheromone lure"
"B","Ppo","7",271,"VistaVerde","Pis","Yes",10,5,2018-05-15,2018-05-08,0.5,"PPO","No pheromone lure"
"B","Ppo","8",282,"VistaVerde","Pis","Yes",20,16,2018-05-15,2018-05-08,0.8,"PPO","No pheromone lure"
"B","Ppo","1",211,"VistaVerde","Pis","Yes",2,2,2018-05-23,2018-05-15,1,"PPO","No pheromone lure"
"B","Ppo","2",222,"VistaVerde","Pis","Yes",2,1,2018-05-23,2018-05-15,0.5,"PPO","No pheromone lure"
"B","Ppo","3",234,"VistaVerde","Pis","Yes",1,1,2018-05-23,2018-05-15,1,"PPO","No pheromone lure"
"B","Ppo","4",243,"VistaVerde","Pis","Yes",1,1,2018-05-23,2018-05-15,1,"PPO","No pheromone lure"
"B","Ppo","5",253,"VistaVerde","Pis","Yes",1,1,2018-05-23,2018-05-15,1,"PPO","No pheromone lure"
"B","Ppo","6",263,"VistaVerde","Pis","Yes",3,2,2018-05-23,2018-05-15,0.666666666666667,"PPO","No pheromone lure"
"B","Ppo","7",271,"VistaVerde","Pis","Yes",2,1,2018-05-23,2018-05-15,0.5,"PPO","No pheromone lure"
"B","Ppo","8",282,"VistaVerde","Pis","Yes",2,1,2018-05-23,2018-05-15,0.5,"PPO","No pheromone lure"
"B","Ppo","1",211,"VistaVerde","Pis","Yes",0,0,2018-05-31,2018-05-23,NA,"PPO","No pheromone lure"
"B","Ppo","2",222,"VistaVerde","Pis","Yes",0,0,2018-05-31,2018-05-23,NA,"PPO","No pheromone lure"
"B","Ppo","3",234,"VistaVerde","Pis","Yes",0,0,2018-05-31,2018-05-23,NA,"PPO","No pheromone lure"
"B","Ppo","4",243,"VistaVerde","Pis","Yes",0,0,2018-05-31,2018-05-23,NA,"PPO","No pheromone lure"
"B","Ppo","5",253,"VistaVerde","Pis","Yes",0,0,2018-05-31,2018-05-23,NA,"PPO","No pheromone lure"
"B","Ppo","6",263,"VistaVerde","Pis","Yes",0,0,2018-05-31,2018-05-23,NA,"PPO","No pheromone lure"
"B","Ppo","7",271,"VistaVerde","Pis","Yes",2,2,2018-05-31,2018-05-23,1,"PPO","No pheromone lure"
"B","Ppo","1",211,"VistaVerde","Pis","Yes",0,0,2018-06-12,2018-05-31,NA,"PPO","No pheromone lure"
"B","Ppo","2",222,"VistaVerde","Pis","Yes",0,0,2018-06-12,2018-05-31,NA,"PPO","No pheromone lure"
"B","Ppo","3",234,"VistaVerde","Pis","Yes",0,0,2018-06-12,2018-05-31,NA,"PPO","No pheromone lure"
"B","Ppo","4",243,"VistaVerde","Pis","Yes",0,0,2018-06-12,2018-05-31,NA,"PPO","No pheromone lure"
"B","Ppo","5",253,"VistaVerde","Pis","Yes",0,0,2018-06-12,2018-05-31,NA,"PPO","No pheromone lure"
"B","Ppo","6",263,"VistaVerde","Pis","Yes",0,0,2018-06-12,2018-05-31,NA,"PPO","No pheromone lure"
"B","Ppo","7",271,"VistaVerde","Pis","Yes",2,1,2018-06-12,2018-05-31,0.5,"PPO","No pheromone lure"
"B","Ppo","8",282,"VistaVerde","Pis","Yes",1,1,2018-06-12,2018-05-31,1,"PPO","No pheromone lure"
"C","PpoCombo","1",314,"Kettleman","Alm","No",69,63,2018-04-27,2018-04-10,0.91304347826087,"PPO","Pheromone lure"
"C","PpoCombo","2",321,"Kettleman","Alm","No",73,62,2018-04-27,2018-04-10,0.849315068493151,"PPO","Pheromone lure"
"C","PpoCombo","3",335,"Kettleman","Alm","No",68,62,2018-04-27,2018-04-10,0.911764705882353,"PPO","Pheromone lure"
"C","PpoCombo","4",345,"Kettleman","Alm","No",79,70,2018-04-27,2018-04-10,0.886075949367089,"PPO","Pheromone lure"
"C","PpoCombo","5",353,"Kettleman","Alm","No",68,66,2018-04-27,2018-04-10,0.970588235294118,"PPO","Pheromone lure"
"C","PpoCombo","6",363,"Kettleman","Alm","No",20,19,2018-04-27,2018-04-10,0.95,"PPO","Pheromone lure"
"C","PpoCombo","7",373,"Kettleman","Alm","No",41,41,2018-04-27,2018-04-10,1,"PPO","Pheromone lure"
"C","PpoCombo","8",383,"Kettleman","Alm","No",52,44,2018-04-27,2018-04-10,0.846153846153846,"PPO","Pheromone lure"
"C","PpoCombo","1",314,"Kettleman","Alm","No",73,68,2018-05-04,2018-04-27,0.931506849315068,"PPO","Pheromone lure"
"C","PpoCombo","2",321,"Kettleman","Alm","No",55,51,2018-05-04,2018-04-27,0.927272727272727,"PPO","Pheromone lure"
"C","PpoCombo","3",335,"Kettleman","Alm","No",70,61,2018-05-04,2018-04-27,0.871428571428571,"PPO","Pheromone lure"
